排名,车名,销量,月份
01,Model Y,48189,03
02,宏光MINIEV,39957,03
03,海鸥,33965,03
04,星愿,32481,03
05,小米SU7,29244,03
06,秦PLUS,27387,03
07,宋PLUS新能源,26092,03
08,Model 3,25938,03
09,朗逸,24042,03
10,星越L,23817,03
11,秦L,21671,03
12,宋Pro新能源,20847,03
13,轩逸,20784,03
14,元PLUS,20179,03
15,速腾,19286,03
16,帕萨特,19099,03
17,卡罗拉锐放,18417,03
18,RAV4荣放,18350,03
19,长安CS75 PLUS,17559,03
20,理想L6,17197,03
21,元UP,17177,03
22,海豹06新能源,17126,03
23,锋兰达,16713,03
24,小鹏MONA M03,16593,03
25,凯美瑞,16582,03
26,本田CR-V,16530,03
27,奔驰GLC,16491,03
28,五菱缤果,15935,03
29,迈腾,15673,03
30,汉,15655,03
31,长安Lumin,15425,03
32,探岳,15345,03
33,星瑞,15210,03
34,奥迪A6L,15105,03
35,瑞虎8,15067,03
36,途观L,14437,03
37,宝马3系,14422,03
38,奔驰C级,14025,03
39,熊猫,13961,03
40,逸动,13954,03
41,红旗H5,12849,03
42,哈弗大狗,12359,03
43,奥迪Q5L,12294,03
44,雅阁,11982,03
45,银河星舰7 EM-i,11888,03
46,奔驰E级,11501,03
47,海豚,11477,03
48,宋L DM-i,11387,03
49,途岳,11324,03
50,威兰达,11223,03
51,帝豪,11202,03
52,皓影,10595,03
53,艾瑞泽8,10577,03
54,捷途X70,10550,03
55,昂科威Plus,10415,03
56,亚洲龙,10226,03
57,哈弗H6,10199,03
58,银河E5,10077,03
59,零跑C10,10052,03
60,缤越,9951,03
61,腾势D9,9326,03
62,AION Y,9303,03
63,宝马5系,9085,03
64,奔腾小马,8776,03
65,理想L7,8707,03
66,博越L,8586,03
67,捷途自由者,8551,03
68,小鹏P7+,8545,03
69,智界R7,8520,03
70,五菱宏光V,8466,03
71,赛那SIENNA,8385,03
72,驱逐舰05,8135,03
73,银河L6,8027,03
74,五菱宏光,7980,03
75,长安X5 PLUS,7763,03
76,海豹06GT,7755,03
77,零跑C11,7710,03
78,传祺GS3,7642,03
79,MG5,7581,03
80,红旗HS5,7556,03
81,AION S,7532,03
82,荣威i5,7445,03
83,卡罗拉,7417,03
84,宝来,7406,03
85,唐新能源,7351,03
86,深蓝S05,7130,03
87,长安启源A07,7078,03
88,零跑T03,6851,03
89,伊兰特,6790,03
90,逍客,6702,03
91,问界M7,6512,03
92,岚图梦想家,6508,03
93,奥迪A4L,6283,03
94,格瑞维亚,6120,03
95,别克GL8,6101,03
96,阿维塔07,6047,03
97,豹5,6036,03
98,宝马X5,5995,03
99,AION RT,5925,03
100,深蓝S07,5914,03
101,汉兰达,5913,03
102,领克03,5800,03
103,领克Z20,5696,03
104,奥迪A3,5682,03
105,长安UNI-Z新能源,5641,03
106,大众ID.3,5601,03
107,哈弗猛龙新能源,5565,03
108,极氪7X,5478,03
109,君威,5469,03
110,银河L7,5450,03
111,瑞虎5x,5328,03
112,T-ROC探歌,5276,03
113,理想L8,5275,03
114,沃尔沃XC60,5263,03
115,宝马X1,5207,03
116,宝马X3,5176,03
117,风云T9,5146,03
118,问界M9,5103,03
119,iCAR V23,5002,03
120,AION UT,4980,03
121,奔驰GLB,4975,03
122,极狐 阿尔法T5,4934,03
123,君越,4878,03
124,瑞虎7,4825,03
125,乐道L60,4820,03
126,皇冠陆放,4789,03
127,捷途旅行者,4742,03
128,捷达VS5,4735,03
129,纳米01,4625,03
130,理想L9,4579,03
131,零跑C16,4451,03
132,海狮05 DM-i,4252,03
133,极狐 阿尔法S5,4159,03
134,红旗E-QM5,4158,03
135,凯迪拉克CT5,4048,03
136,北京越野BJ30,4018,03
137,蒙迪欧,4003,03
138,魏牌 蓝山,3945,03
139,途昂,3941,03
140,坦克500新能源,3927,03
141,荣威D7,3927,03
142,高尔夫,3876,03
143,雷凌,3851,03
144,传祺M8,3827,03
145,AION V,3747,03
146,领克06,3724,03
147,新海狮X30L CNG,3635,03
148,五菱之光新能源,3634,03
149,捷达VA3,3533,03
150,五菱之光,3531,03
151,五菱缤果PLUS,3516,03
152,劲客,3499,03
153,五菱星光,3492,03
154,长安UNI-V,3472,03
155,天籁,3442,03
156,五菱星光S,3421,03
157,领克08 EM-P,3365,03
158,智己LS6,3353,03
159,坦克300,3348,03
160,长安CS55PLUS,3331,03
161,极狐 考拉,3307,03
162,零跑B10,3298,03
163,海狮07 EV,3267,03
164,蔚来ES6,3260,03
165,风神L7,3215,03
